name,count,year,month
Peugeot 207,83,2012,5
Citroen DSB,206,2012,5
Nissan Pixo,3,2012,5
Kia Rio,321,2012,5
Citroen C4,345,2012,5
MINI Mini,177,2012,5
Fiat 500,207,2012,5
Renault Laguna,14,2012,5
Volkswagen Polo,889,2012,5
Peugeot 308,356,2012,5
MINI Clubman,32,2012,5
Volvo C30,46,2012,5
Opel Corsa,235,2012,5
Renault Megane,221,2012,5
Hyundai i10,103,2012,5
Ford Ka,37,2012,5
Ford Focus,1772,2012,5
Skoda Fabia,504,2012,5
AudiA'I,453,2012,5
HondaJazz,147,2012,5
AudiA3,702,2012,5
Ford Fiesta,575,2012,5
Toyota Verso-S,470,2012,5
Mazda2,273,2012,5
Volkswagen Jetta,47,2012,5
Honda CR-Z,4,2012,5
ToyotaYaris,1603,2012,5
Chevrolet Spark,6,2012,5
Citroen DS4,118,2012,5
Saab 9-3,2,2012,5
ChevroletAveo,1,2012,5
Nissan Leaf,1634,2013,5
Mitsubishi l-MiEV,174,2013,5
Citroen C-Zero,15,2013,5
Mia andre,3,2013,5
Think City,3,2013,5
Tesla Roadster,2,2013,5
Opel Ampera,24,2013,5
Fisker Karma,1,2013,5
Smart ForTwo,12,2013,5
Toyota Yaris,1696,2013,5
Toyota Prius,878,2013,5
Lexus CT,130,2013,5
Mitsubishi Space Star,263,2013,5
Fiat 500,146,2013,5
Hondalnsight,3,2013,5
Volkswagen upl,541,2013,5
Skoda Citigo,318,2013,5
Toyota Auris,1807,2013,5
Peugeot 208,898,2013,5
Ford Fiesta,651,2013,5
Toyota Aygo,158,2013,5
Peugeot 107,74,2013,5
Citroen C1,46,2013,5
Citroen DS3,207,2013,5
Volvo V40,1542,2013,5
Kia Picanto,408,2013,5
Renault Clio,207,2013,5
Volkswagen Jetta,42,2013,5
Citroen C3,167,2013,5
Suzuki Alto,41,2013,5
Toyota lQ,21,2013,5
Fiat Punto,8,2013,5
Citroen C4,160,2013,5
Renault Megane,82,2013,5
Alfa Romeo Mito,23,2013,5
Peugeot 2008,7,2013,5
Renault Laguna,7,2013,5
Kia Rio,272,2013,5
Nissan Micra,36,2013,5
MINI Mini,139,2013,5
Fiat Panda,78,2013,5
Hyundai i10,72,2013,5
Volvo C30,4,2013,5
Peugeot 508,578,2013,5
Skoda Rapid,154,2013,5
Honda Jazz,92,2013,5
Chevrolet Aveo,43,2013,5
Ford Ka,10,2013,5
Volkswagen Golf,3381,2013,5
Audi A3,800,2013,5
Peugeot 308,89,2013,5
Ford Focus,1494,2013,5
BMW 1-serie,491,2013,5
AudiA1,336,2013,5
Skoda Fabia,293,2013,5
Citroen DS5,131,2013,5
Volkswagen Polo,708,2013,5
Toyota Verso-S,198,2013,5
Mazda2,137,2013,5
Chevrolet Spark,59,2013,5
Opel Adam,59,2013,5
Honda andre,3,2013,5
Hyundai i20,474,2013,5
Subaru Trezia,41,2013,5
MINI CIubrnan,20,2013,5
Saab 9-3,1,2013,5
Nissan Leaf,1033,2012,6
Mitsubishi I-MiEV,336,2012,6
Citroen C-Zero,180,2012,6
Peugeot iOn,140,2012,6
Tesla Roadster,18,2012,6
Think City,8,2012,6
Mia andre,2,2012,6
OpeIAmpera,19,2012,6
Toyota Prius,773,2012,6
Lexus CT,243,2012,6
Volkswagen upl,140,2012,6
Peugeot 208,324,2012,6
Citroen C3,223,2012,6
VolvoV50,1177,2012,6
Smart ForTwo,27,2012,6
ToyotaAuris,1381,2012,6
Toyota Aygo,275,2012,6
Citroen C1,160,2012,6
Hondalnsight,5,2012,6
Peugeot 107,174,2012,6
Fiat Punto,14,2012,6
Kia Picanto,488,2012,6
ToyotalQ,82,2012,6
Volvo S40,43,2012,6
Renault Clio,33,2012,6
Suzuki Alto,37,2012,6
Nissan Miora,141,2012,6
Peugeot 207,83,2012,6
Citroen DSB,265,2012,6
Nissan Pixo,3,2012,6
Kia Rio,387,2012,6
Citroen C4,375,2012,6
MINI Mini,212,2012,6
Fiat 500,243,2012,6
Volvo V40,5,2012,6
Peugeot 308,410,2012,6
Renault Laguna,15,2012,6
Volkswagen Polo,999,2012,6
Renault Megane,317,2012,6
Volvo C30,54,2012,6
Ford Ka,49,2012,6
MINI CIubman,35,2012,6
HondaJazz,192,2012,6
Hyundai i10,124,2012,6
Ford Focus,2288,2012,6
Ford Fiesta,670,2012,6
Skoda Fabia,560,2012,6
AudiA'I,542,2012,6
Opel Corsa,265,2012,6
ToyotaVerso-S,554,2012,6
Honda andre,4,2012,6
AudiA3,780,2012,6
Volkswagen Jetta,57,2012,6
Subaru Trezia,54,2012,6
Chevrolet Spark,6,2012,6
Peugeot 508,970,2012,6
Saab 9-3,2,2012,6
Nissan Leaf,1974,2013,6
Mitsubishi l-MiEV,203,2013,6
Peugeot iOn,26,2013,6
Citroen C-Zero,15,2013,6
Think City,4,2013,6
Mia andre,3,2013,6
Tesla Roadster,2,2013,6
Opel Ampera,28,2013,6
Fisker Karma,1,2013,6
Smart ForTwo,13,2013,6
Toyota Yaris,2046,2013,6
Toyota Prius,999,2013,6
Lexus CT,152,2013,6
Mitsubishi Space Star,395,2013,6
Fiat 500,172,2013,6
Hondalnsight,3,2013,6
Volkswagen upl,615,2013,6
Skoda Citigo,342,2013,6
Toyota Aygo,179,2013,6
Peugeot 107,86,2013,6
Toyota Auris,2076,2013,6
Peugeot 208,1016,2013,6
Ford Fiesta,823,2013,6
Citroen C'l,56,2013,6
Citroen DS3,227,2013,6
Volvo V40,1793,2013,6
Kia Picanto,472,2013,6
Renault Clio,240,2013,6
Citroen C3,202,2013,6
Volkswagen Jetta,56,2013,6
Suzuki Alto,44,2013,6
Toyota IQ,24,2013,6
Fiat Punto,3,2013,6
Citroen C4,183,2013,6
Alfa Romeo Mito,28,2013,6
Renault Megane,92,2013,6
Kia Rio,323,2013,6
Peugeot 2008,85,2013,6
Renault Laguna,8,2013,6
Nissan Micra,47,2013,6
MINI Mini,174,2013,6
Hyundai i10,80,2013,6
Fiat Panda,90,2013,6
Volvo C30,4,2013,6
Peugeot 508,651,2013,6
Skoda Rapid,186,2013,6
Chevrolet Aveo,45,2013,6
Ford Ka,12,2013,6
Volkswagen Golf,3931,2013,6
Audi A3,953,2013,6
Peugeot 308,99,2013,6
Ford Focus,1789,2013,6
BMW 1-serie,572,2013,6
AudiA'l,378,2013,6
Skoda Fabia,342,2013,6
Citroen DS5,155,2013,6
Honda Jazz,121,2013,6
Toyota Verso-S,224,2013,6
Mazda2,150,2013,6
Opel Adam,85,2013,6
Chevrolet Spark,77,2013,6
Honda andre,3,2013,6
Volkswagen Polo,795,2013,6
Hyundaii20,577,2013,6
Fiat 500L,103,2013,6
Subaru Trezia,58,2013,6
Saab 9-3,1,2013,6
Nissan Leaf,1207,2012,7
Mitsubishi l-MiEV,382,2012,7
Citroen C-Zero,199,2012,7
Peugeot iOn,151,2012,7
Tesla Roadster,21,2012,7
Think City,8,2012,7
Mia andre,3,2012,7
ThinkThink,1,2012,7
OpelAmpera,19,2012,7
Toyota Prius,886,2012,7
Lexus CT,272,2012,7
Volkswagen upl,262,2012,7
Peugeot 208,428,2012,7
Citroen CB,241,2012,7
VolvoV50,1280,2012,7
Smart ForTwo,28,2012,7
Hondalnsight,6,2012,7
Toyota Auris,1626,2012,7
Toyota Aygo,343,2012,7
Citroen C1,166,2012,7
Fiat Punto,17,2012,7
Peugeot 107,188,2012,7
Kia Picanto,543,2012,7
ToyotalQ,85,2012,7
Volvo S40,44,2012,7
SuzukiAlto,43,2012,7
Renault Clio,36,2012,7
Nissan Miora,155,2012,7
Peugeot 207,83,2012,7
Citroen DSB,295,2012,7
Fiat 500,295,2012,7
Nissan Pixo,3,2012,7
Kia Rio,454,2012,7
Volvo V40,6,2012,7
Citroen C4,416,2012,7
MINI Mini,232,2012,7
Peugeot 308,467,2012,7
Renault Laguna,17,2012,7
Volkswagen Polo,1197,2012,7
Renault Megane,378,2012,7
Volvo C30,62,2012,7
Ford Ka,61,2012,7
MINI Clubman,38,2012,7
HondaJazz,213,2012,7
Ford Focus,2657,2012,7
Toyota Yaris,2028,2012,7
Ford Fiesta,762,2012,7
AudiA1,650,2012,7
Skoda Fabia,636,2012,7
Hyundai i10,136,2012,7
ToyotaVerso-S,612,2012,7
Mazda2,356,2012,7
OpelCorsa,301,2012,7
Honda CR-Z,4,2012,7
AudiA3,880,2012,7
Subaru Trezia,64,2012,7
Volkswagen Jetta,64,2012,7
Chevrolet Spark,7,2012,7
Subaru Justy,1,2012,7
Peugeot 508,1098,2012,7
Citroen DS4,142,2012,7
Saab 9-3,2,2012,7
ChevroletAveo,1,2012,7
Nissan Leaf,2242,2013,7
