car_name,count_CM_CY,pct_CM_CY,cum_YTD_CY,pct_YTD_CY,count_CM_LY,pct_CM_LY,cum_YTD_LY,pct_YTD_LY,chg_CM_YOY,chg_YTD_YOY,yearsel,monthsel,velgfordelt
6. Volvo XC60,136,"2,5",136,"2,5",0,"0,0",0,"0,0",,,2009.0,1,0
7. Toyota Prius,135,"2,5",135,"2,5",217,"2,2",217,"2,2","-37,8","-37,8",2009.0,1,0
8. Nissan Qashqai,130,"2,4",130,"2,4",280,"2,8",280,"2,8","-53,6","-53,6",2009.0,1,0
9. Peugeot 308,126,"2,4",126,"2,4",135,"1,4",135,"1,4","-6,7","-6,7",2009.0,1,0
9. Volvo V50,126,"2,4",126,"2,4",133,"1,3",133,"1,3","-5,3","-5,3",2009.0,1,0
10. Toyota Auris,125,"2,3",125,"2,3",321,"3,2",321,"3,2","-61,1","-61,1",2009.0,1,0
11. Opel Insignia,117,"2,2",117,"2,2",0,"0,0",0,"0,0",,,2009.0,1,0
12. Mazda 6,97,"1,8",97,"1,8",115,"1,2",115,"1,2","-15,7","-15,7",2009.0,1,0
13. Skoda Octavia,92,"1,7",92,"1,7",216,"2,2",216,"2,2","-57,4","-57,4",2009.0,1,0
14. Ford Fiesta,91,"1,7",91,"1,7",27,"0,3",27,"0,3","237,0","237,0",2009.0,1,0
15. Audi A4,89,"1,7",89,"1,7",157,"1,6",157,"1,6","-43,3","-43,3",2009.0,1,0
16. Toyota Yaris,88,"1,6",88,"1,6",198,"2,0",198,"2,0","-55,6","-55,6",2009.0,1,0
17. Peugeot 207,83,"1,6",83,"1,6",202,"2,0",202,"2,0","-58,9","-58,9",2009.0,1,0
17. Subaru Impreza,83,"1,6",83,"1,6",56,"0,6",56,"0,6","48,2","48,2",2009.0,1,0
18. Volkswagen Tiguan,80,"1,5",80,"1,5",81,"0,8",81,"0,8","-1,2","-1,2",2009.0,1,0
TOTALT,9 697,100,9 697,100,5 353,100,5 353,100,"81,2","81,2",2010.0,1,0
1. Volkswagen Golf,739,"7,6",739,"7,6",318,"5,9",318,"5,9","132,4","132,4",2010.0,1,0
2. Toyota Prius,403,"4,2",403,"4,2",135,"2,5",135,"2,5","198,5","198,5",2010.0,1,0
3. Toyota Avensis,347,"3,6",347,"3,6",400,"7,5",400,"7,5","-13,3","-13,3",2010.0,1,0
4. Peugeot 3008,336,"3,5",336,"3,5",0,"0,0",0,"0,0",,,2010.0,1,0
5. Volkswagen Polo,310,"3,2",310,"3,2",63,"1,2",63,"1,2","392,1","392,1",2010.0,1,0
6. Ford Fiesta,308,"3,2",308,"3,2",91,"1,7",91,"1,7","238,5","238,5",2010.0,1,0
7. Toyota Urban Cruiser,302,"3,1",302,"3,1",0,"0,0",0,"0,0",,,2010.0,1,0
7. Volvo V50,302,"3,1",302,"3,1",126,"2,4",126,"2,4","139,7","139,7",2010.0,1,0
8. Volkswagen Passat,299,"3,1",299,"3,1",161,"3,0",161,"3,0","85,7","85,7",2010.0,1,0
9. Nissan Qashqai,279,"2,9",279,"2,9",130,"2,4",130,"2,4","114,6","114,6",2010.0,1,0
10. Ford Mondeo,226,"2,3",226,"2,3",154,"2,9",154,"2,9","46,8","46,8",2010.0,1,0
11. Peugeot 308,211,"2,2",211,"2,2",126,"2,4",126,"2,4","67,5","67,5",2010.0,1,0
12. Skoda Octavia,197,"2,0",197,"2,0",92,"1,7",92,"1,7","114,1","114,1",2010.0,1,0
13. Toyota Auris,190,"2,0",190,"2,0",125,"2,3",125,"2,3","52,0","52,0",2010.0,1,0
14. Toyota Yaris,186,"1,9",186,"1,9",88,"1,6",88,"1,6","111,4","111,4",2010.0,1,0
15. Toyota Rav4,182,"1,9",182,"1,9",71,"1,3",71,"1,3","156,3","156,3",2010.0,1,0
16. Volvo V70,181,"1,9",181,"1,9",56,"1,0",56,"1,0","223,2","223,2",2010.0,1,0
17. Audi A4,176,"1,8",176,"1,8",89,"1,7",89,"1,7","97,8","97,8",2010.0,1,0
18. Peugeot 207,171,"1,8",171,"1,8",83,"1,6",83,"1,6","106,0","106,0",2010.0,1,0
19. Ford Focus,166,"1,7",166,"1,7",177,"3,3",177,"3,3","-6,2","-6,2",2010.0,1,0
TOTALT,10 372,100,10 372,100,9 697,100,9 697,100,"7,0","7,0",2011.0,1,0
1. Volkswagen Golf,637,"6,1",637,"6,1",739,"7,6",739,"7,6","-13,8","-13,8",2011.0,1,0
